from,to,mean,std
Brampton,Malton,1.6196891191709843,2.6369985426695317
Georgetown,Brampton,1.5729058945191314,4.155941907827695
Guelph,Georgetown,0.859358841778697,5.116942264596624
Kitchener,Guelph,-2.777892561983471,3.6130361037638097
London,St. Mary's,2.696280991735537,6.969775686827004
Malton,Toronto,0.7394859813084113,5.736199342192572
St. Mary's,Stratford,2.03205791106515,2.5075468295194208
Stratford,Kitchener,8.102484472049689,6.552842521863237
