from,to,mean,std
Brampton,Georgetown,1.0849740932642487,9.20890738539218
Georgetown,Guelph,0.2549222797927461,8.605296612649163
Guelph,Kitchener,-2.3561076604554865,10.388888991191443
Kitchener,Stratford,10.970984455958549,6.64240648137902
Malton,Brampton,1.3751295336787566,4.285966087079278
St. Mary's,London,-0.4155440414507772,8.399291540427546
Stratford,St. Mary's,-1.3960498960498962,3.282423311938375
Toronto,Malton,1.2702702702702702,3.7957380297045527
