state_shift
2
1
1
2
2
2
2
1
1
2
2
1
2
2
1
2
1
2
1
2
2
2
2
2
2
2
2
1
1
2
2
1
1
2
1
2
2
2
1
2
2
1
1
1
2
2
1
2
2
2
1
1
2
2
1
2
2
2
2
2
2
2
2
2
2
1
1
2
1
1
2
2
2
2
1
1
1
2
2
2
2
2
1
1
1
2
2
1
1
2
2
1
2
1
2
1
2
2
2
2
2
1
2
1
1
2
2
1
1
1
1
1
1
2
1
2
2
2
2
2
2
2
2
2
2
1
2
2
2
2
1
50
2
2
2
1
2
2
2
2
1
2
2
2
2
2
1
2
2
2
2
