state_shift
0
4
6
3
5
1
3
5
0
5
4
0
0
2
1
4
5
1
0
2
-1
0
0
1
0
0
0
-1
0
-1
-1
0
0
-1
0
3
6
3
0
-1
0
-1
0
0
0
2
-1
2
7
4
5
8
0
3
-1
-1
1
2
3
3
-1
0
0
0
-1
2
4
0
0
3
0
5
0
1
0
0
0
-1
-1
0
-1
0
-1
6
2
-1
6
-1
2
-1
0
0
-1
0
0
4
1
9
4
3
3
2
